Date,Open,High,Low,Close,Volume,short_sma,long_sma,rsi,entry_price,stop_price,exit_reason,signal,position_change,market_return,strategy_return,market_equity,strategy_equity
2024-01-02,74775.26550722362,76305.19421325377,74775.26550722362,76113.953125,17142847.0,,,,,,,0,0.0,,,1.0,1.0
2024-01-03,75062.12850040584,75348.99013798701,73627.8203125,73627.8203125,21753644.0,,,,,,,0,0.0,-0.032663299046064354,-0.0,0.9673367009539356,1.0
2024-01-04,72767.2487455124,73914.69550628265,72767.2487455124,73245.3515625,15324439.0,,,,,,,0,0.0,-0.005194622744183919,-0.0,0.9623117517258765,1.0
2024-01-05,73340.97212589752,73723.45437948761,73054.11043570496,73245.3515625,11304316.0,,,,,,,0,0.0,0.0,0.0,0.9623117517258765,1.0
2024-01-08,73627.82148692811,74105.92422385621,73054.09820261438,73149.71875,11088724.0,,,,,,,0,0.0,-0.0013056502625753419,-0.0,0.9610553091345563,1.0
2024-01-09,74010.3015813253,74297.16321536145,71046.06469628515,71428.546875,26019249.0,,,,,,,0,0.0,-0.023529439407448116,-0.0,0.9384422164710684,1.0
2024-01-10,71715.41429602582,71906.65540081522,69994.24435292119,70376.7265625,20259529.0,,,,,,,0,0.0,-0.014725489436887007,-0.0,0.9246231955252948,1.0
2024-01-11,69707.38053919058,70376.7243852459,69516.13944031762,69994.2421875,57691266.0,,,,,,,0,0.0,-0.005434813377691361,-0.0,0.9195980410129302,1.0
2024-01-12,69803.00444596443,70854.83054035567,69611.7633378933,69898.625,13038939.0,,,,,,,0,0.0,-0.0013660721869644954,-0.0,0.9183418037059153,1.0
2024-01-15,69994.24983085251,70759.21430987821,69994.24983085251,70663.59375,2957915.0,,,,,,,0,0.0,0.01094397421980764,0.0,0.9283921127306445,1.0
2024-01-16,70281.10843879133,70472.34955018939,69324.90288180097,69420.5234375,14760415.0,,,,,,,0,0.0,-0.017591382585180226,-0.0,0.912060411886536,1.0
2024-01-17,69898.62539612676,70089.8665052817,67890.59375,67890.59375,22683660.0,,,,,,,0,0.0,-0.022038578964006406,-0.0,0.8919598964792304,1.0
2024-01-18,68464.3091440028,68846.79131799164,67603.72425252789,68559.9296875,17853397.0,,,,,,,0,0.0,0.009859037909798918,0.0,0.9007537629126394,1.0
2024-01-19,70281.10033885542,71428.546875,69802.99761546185,71428.546875,23363427.0,,,,,,,0,0.0,0.04184101705727117,0.0,0.9384422164710684,1.0
2024-01-22,72575.99563082556,72671.61617842875,71715.41070239681,71811.03125,19673375.0,,,34.265739859379124,,,,0,0.0,0.005354783090706583,0.0,0.9434673709834329,1.0
2024-01-23,72384.76688206449,72480.3874459774,71046.07898728391,71906.6640625,14786224.0,,,42.372948248715254,,,,0,0.0,0.0013317287168188585,0.0,0.9447238135747531,1.0
2024-01-24,71906.64172297297,71906.64172297297,70281.09264146959,70759.1953125,12860661.0,,,39.682487190161424,,,,0,0.0,-0.015957752524893065,-0.0,0.929648144753354,1.0
2024-01-25,70950.44867577597,71524.17198043186,70472.34592189609,70854.828125,11737747.0,,,40.15748690021648,,,,0,0.0,0.0013515248735891383,0.0,0.9309045873446742,1.0
2024-01-26,70472.35387219005,71237.31836469687,70089.87162593665,70185.4921875,11160062.0,,,38.345939948975605,,,,0,0.0,-0.009446581908563512,-0.0,0.9221107209112652,1.0
